data_lake_version,index_name,time_create,time_save,time_load,time_query,peak_create,peak_query,n_candidates
binary_update,exact_matching,26.008287,0.082739,0.010727,0.02662,277.90625,266.0117188,0
binary_update,exact_matching,29.507139,0.09511,0.009949,0.028616,278.6953125,257.640625,0
binary_update,exact_matching,28.271373,0.084453,0.012061,0.031229,276.5234375,255.0234375,0
binary_update,minhash,63.140354,1.2771,0.576184,3.066773,216.6601563,269.3046875,0
binary_update,minhash_hybrid,65.844464,1.559449,0.597746,19.708986,215.796875,1196.695313,0
binary_update,minhash_hybrid,64.59571,1.389481,0.669867,18.197151,217.3359375,1253.117188,0
open_data_us,exact_matching,717.602439,0.758044,0.215827,0.043752,420.625,383.8632813,0
open_data_us,minhash,759.362966,159.376645,97.708819,0.969926,3288.386719,7789.402344,0
open_data_us,minhash_hybrid,724.405078,147.844577,93.320983,86.206967,3286.054688,10472.98047,0
wordnet_full,exact_matching,2208.826765,0.802755,0.41329,0.052441,448.3359375,412.8515625,0
wordnet_full,minhash,3608.617686,150.121762,74.452641,2.876757,2790.167969,6784.132813,0
wordnet_full,minhash_hybrid,3302.109224,173.293079,74.781407,756.253125,2786.925781,8541.144531,0
wordnet_vldb_10,exact_matching,1835.957032,1.596749,0.317109,0.058482,475.2265625,388.0585938,0
wordnet_vldb_10,minhash,2152.364766,178.555798,91.142749,2.807362,3290.03125,9138.253906,0
wordnet_vldb_10,minhash_hybrid,1951.479671,179.125189,89.70346,1097.920186,3289.933594,12678.69141,0
wordnet_vldb_50,exact_matching,5114.110193,2.848049,1.115819,0.148637,1134.203125,871.0585938,0
wordnet_vldb_50,minhash,11748.79381,987.507665,429.946555,6.201546,13696.69531,37331.76563,0
wordnet_vldb_50,minhash_hybrid,8528.655334,695.702414,388.294038,5970.570628,13696.51953,37327.42969,0
