data_lake_version,index_name,time_create,time_save,time_load,time_query,peak_create,peak_query,total_retrieval,peak_memory
binary_update,exact_matching,26.008287,0.082739,0.010727,0.02662,277.90625,266.0117188,26.128373,277.90625
binary_update,exact_matching,29.507139,0.09511,0.009949,0.028616,278.6953125,257.640625,29.640814,278.6953125
binary_update,exact_matching,28.271373,0.084453,0.012061,0.031229,276.5234375,255.0234375,28.399116,276.5234375
binary_update,minhash,63.140354,1.2771,0.576184,3.066773,216.6601563,269.3046875,68.060411,269.3046875
binary_update,minhash_hybrid,65.844464,1.559449,0.597746,19.708986,215.796875,1196.695313,87.710645,1196.695313
binary_update,minhash_hybrid,64.59571,1.389481,0.669867,18.197151,217.3359375,1253.117188,84.852209,1253.117188
wordnet_full,exact_matching,2208.826765,0.802755,0.41329,0.052441,448.3359375,412.8515625,2210.095251,448.3359375
wordnet_full,minhash,3608.617686,150.121762,74.452641,2.876757,2790.167969,6784.132813,3836.068846,6784.132813
wordnet_full,minhash_hybrid,3302.109224,173.293079,74.781407,756.253125,2786.925781,8541.144531,4306.436835,8541.144531
wordnet_vldb_10,exact_matching,1835.957032,1.596749,0.317109,0.058482,475.2265625,388.0585938,1837.929372,475.2265625
wordnet_vldb_10,minhash,2152.364766,178.555798,91.142749,2.807362,3290.03125,9138.253906,2424.870675,9138.253906
wordnet_vldb_10,minhash_hybrid,1951.479671,179.125189,89.70346,1097.920186,3289.933594,12678.69141,3318.228506,12678.69141
wordnet_vldb_50,minhash,11748.79381,987.507665,429.946555,6.201546,13696.69531,37331.76563,13172.44957,37331.76563
wordnet_vldb_50,minhash_hybrid,8528.655334,695.702414,388.294038,5970.570628,13696.51953,37327.42969,15583.22241,37327.42969
wordnet_vldb_50,exact_matching,5114.110193,2.848049,1.115819,0.148637,1134.203125,871.0585938,5118.222698,1134.203125
wordnet_full,starmie,,,,,,,24000.99483,145437.1133
binary_update,starmie,,,,,,,475.664464,19424.07422
wordnet_vldb_10,starmie,,,,,,,42871.82499,134868.7188
